"STATION","NAME","DATE","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-06-12","0.16","0.0","0.0","75","86","63",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-06-13","0.00","0.0","0.0","74","91","68",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-06-14","0.31","0.0","0.0","80","91","68",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-06-15","0.04","0.0","0.0","70","77","63",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-06-16","0.00","0.0","0.0","71","86","55",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-06-17","0.05","0.0","0.0","71","87","54",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-06-18","0.40","0.0","0.0","78","91","64",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-06-19","0.02","0.0","0.0","75","84","65",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-06-20","0.00","0.0","0.0","70","76","63",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-06-21","0.17","0.0","0.0","62","69","55",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-06-22","0.02","0.0","0.0","60","69","51",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-06-23","0.00","0.0","0.0","62","73","50","    0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-06-24","0.00","0.0","0.0","66","81","50",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-06-25","0.00","0.0","0.0","72","85","58",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-06-26","0.00","0.0","0.0","74","86","61",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-06-27","0.00","0.0","0.0","75","87","63",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-06-28","0.00","0.0","0.0","75","86","63",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-06-29","0.00","0.0","0.0","77","87","66",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-06-30","0.00","0.0","0.0","78","88","68",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-07-01","0.00","0.0","0.0","64","78","50","    0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-07-02","0.00","0.0","0.0","64","75","49","    0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-07-03","0.07","0.0","0.0","72","79","64","    0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-07-04","0.00","0.0","0.0","78","88","68",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-07-05","0.00","0.0","0.0","64","73","54",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-07-06","0.00","0.0","0.0","66","81","50",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-07-07","0.17","0.0","0.0","74","86","62",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-07-08","0.00","0.0","0.0","79","89","68","    0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-07-09","0.00","0.0","0.0","79","91","66","    0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-07-10","0.00","0.0","0.0","81","93","68","    0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-07-11","0.00","0.0","0.0","69","78","60",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-07-12","0.00","0.0","0.0","69","80","58",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-07-13","0.00","0.0","0.0","68","79","57",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-07-14","0.00","0.0","0.0","74","87","61",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-07-15","0.00","0.0","0.0","74","88","59",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-07-16","0.00","0.0","0.0","75","86","63","    0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-07-17","0.45","0.0","0.0","79","86","71","    0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-07-18","0.04","0.0","0.0","78","85","70","    0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-07-19","0.00","0.0","0.0","77","88","66",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-07-20","0.00","0.0","0.0","82","93","70",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-07-21","0.00","0.0","0.0","83","93","73",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-07-22","1.30","0.0","0.0","82","95","68","    0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-07-23","0.09","0.0","0.0","83","92","73","    0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-07-24","0.02","0.0","0.0","79","90","68","    0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-07-25","0.82","0.0","0.0","71","75","67",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-07-26","0.00","0.0","0.0","73","78","68",
